Gen Number,ID,Fitness,Weights,Diversity
0,20,0.1,"[-0.4020312075611201, 0.9166337741994861, 0.5751317711872077, 0.4001790051072265, 0.58127641392104, 0.6154267335738006]",0.5350878063813935
0,18,0.09857188060209446,"[-0.16618434482262012, 0.6801886695840864, 0.8815589405022968, 0.7161390666596863, 0.9632192963577038, -0.7332379154767481]",0.5350878063813935
0,6,0.09368570206680485,"[-0.16404120364130415, 0.685501526070116, 0.05954393265396729, 0.37743343106063465, -0.6024143505717328, 0.6193322768467964]",0.5350878063813935
0,7,0.08906801060861116,"[0.9465410350652583, 0.03410227197040472, -0.3221459960747972, 0.3236281568033259, -0.21629403336058517, 0.3198799950840343]",0.5350878063813935
0,10,0.07905139020037703,"[0.21745511819155028, 0.04119066021921847, 0.9640961409486914, 0.9062911008054382, 0.6209950131921393, 0.5280166734458356]",0.5350878063813935
0,8,0.05584030595700156,"[0.4276412056239227, 0.24048943737896789, -0.22628075171383522, -0.09458240517373073, 0.4735422664683244, 0.7719745209025051]",0.5350878063813935
0,17,0.05010539940021855,"[-0.30408556043232005, -0.3671811483328995, 0.9750195937878834, -0.03731424912608072, 0.8567272281423037, 0.13546897608599529]",0.5350878063813935
0,15,0.04771702799708394,"[-0.7268631471312768, 0.32884774675020245, 0.8553996988578756, 0.5349944501518094, 0.7944124939725488, 0.43254428286829905]",0.5350878063813935
0,14,0.0428637248584581,"[0.5161627180434749, -0.8314365181043739, 0.46383755316350017, 0.8971208119309422, -0.055238242586997055, 0.3800681114103073]",0.5350878063813935
0,5,0.04271662149648126,"[-0.2149763633527697, -0.3077721576229857, -0.9444444122184015, -0.08917823268603398, -0.5940875506985956, 0.49567427265481756]",0.5350878063813935
0,11,0.041972445103814884,"[0.06300662750905683, -0.9530412839271918, 0.8677135620616538, -0.5290004847096683, 0.039596332439964854, -0.6762188162066931]",0.5350878063813935
0,12,0.041494539085252136,"[0.2524634027104953, -0.13584124743963621, -0.07499042149407886, -0.6528000314895495, -0.74498488107133, -0.29748102405423604]",0.5350878063813935
0,16,0.04104971710237646,"[-0.6771419158407068, 0.044810399748886676, 0.7151172409477486, 0.5764561380775794, 0.942351626065868, 0.801076012935142]",0.5350878063813935
0,9,0.03784903054645947,"[0.757731966508038, 0.6948162797311697, 0.6147602644741625, -0.33760352580157305, 0.5403995840119269, -0.5868976798517813]",0.5350878063813935
0,4,0.037734188270322905,"[-0.40192531491264205, 0.15290298477104747, 0.8419872826959682, 0.9286529026529118, -0.7434592133879916, -0.36755859300055804]",0.5350878063813935
0,1,0.03772442274027224,"[-0.9075348701318955, 0.427041307035708, -0.20846129009641245, 0.31928496245815063, 0.3298355014870433, -0.4461230489276158]",0.5350878063813935
0,2,0.036336577735693695,"[-0.6920253084911796, -0.5823079599248215, -0.3438892402549747, -0.3295741089283759, 0.8473638743682963, 0.042241406544992754]",0.5350878063813935
0,19,0.03543756329002017,"[0.3473295406216448, -0.17711473373016484, 0.18574227266607202, 0.664185046318265, -0.7751160257637693, -0.44841300289047936]",0.5350878063813935
0,3,0.035415618572759516,"[-0.4274488864852577, -0.7342674482619236, 0.6606242546316716, 0.5157146455879493, 0.5991687769409737, -0.17126387065070725]",0.5350878063813935
0,13,0.0348187128321821,"[-0.9712149185838566, -0.07264869764685478, 0.32106465580200805, 0.8757693307496446, 0.4333216965938087, -0.7455275601049973]",0.5350878063813935
1,26,0.10178680723407549,"[-0.16325326249157318, 0.6874548356721402, -0.24267575125057778, 0.2529058869767673, -1, 1]",0.44650808027361705
1,24,0.058941959951445466,"[-1, 0.7830736086671333, 1, 0.43752957639349654, -0.028300194268952472, 0.6991133557378496]",0.44650808027361705
1,20,0.05643501500566331,"[-0.4020312075611201, 0.9166337741994861, 0.5751317711872077, 0.4001790051072265, 0.58127641392104, 0.6154267335738006]",0.44650808027361705
1,18,0.05436874687508864,"[-0.16618434482262012, 0.6801886695840864, 0.8815589405022968, 0.7161390666596863, 0.9632192963577038, -0.7332379154767481]",0.44650808027361705
1,32,0.054181907675814225,"[-0.545513216286533, 0.9092495528586786, 0.1906499599646086, 0.3959149136078153, -0.735042164520294, 0.7221906340525516]",0.44650808027361705
