Gen Number,ID,Fitness,Weights,Diversity,Black Line Percentage
0,1,0.0003198976327575176,"[-0.7290236726440764, 0.7757034054607559, 0.8652112797730049, -0.10886367190480972, -0.22352890777203482, -0.4848071293976821]",0.5970823979528604,0.0
0,2,4.633459709141804e-05,"[0.31473517094207537, -0.014766124987475093, 0.9284768385001143, 0.60196894973888, -0.08958942958085037, 0.6021161731839897]",0.5970823979528604,0.0
0,3,0.031990037481594964,"[-0.9165640543624978, 0.5389157438756231, -0.9936577664894115, -0.41438121590104626, 0.221828665333758, 0.8260547828412923]",0.5970823979528604,0.03198976327575176
0,4,0.00026552900027343614,"[-0.3997699905107268, -0.5028027266585802, 0.33278420980665757, 0.9750658217196329, -0.06345918785114346, -0.7534252409472912]",0.5970823979528604,0.0
0,5,0.00024331243355783222,"[0.832062773464878, 0.8922870669668503, -0.44460525339158474, 0.03930737751592095, -0.6905100025671167, -0.9707452943515591]",0.5970823979528604,0.0
0,6,0.00020653772642738267,"[-0.3515135871810178, 0.9817968774915744, 0.026282575611985326, 0.7529912825043323, -0.8652085066815607, -0.4316925256874051]",0.5970823979528604,0.0
0,7,0.00019341090825855466,"[-0.06220146414700789, 0.5235463809137351, 0.8452235534576378, -0.2139524858757298, 0.8581753543813058, -0.0007759791334565058]",0.5970823979528604,0.0
0,8,0.00016356997957029057,"[0.6040993806032251, 0.7931602278073766, -0.03574184953093407, 0.6958598046962556, -0.44664143277907686, -0.3195415731556077]",0.5970823979528604,0.0
0,9,0.00014616512196767779,"[-0.7898507974832718, 0.04629543743056286, 0.29701604270275506, 0.799223167313972, -0.7922681158892069, -0.3765106480110487]",0.5970823979528604,0.0
0,10,0.1639312590708424,"[-0.843793361762009, 0.8757403771208427, 0.9181739752252265, -0.6175156302596874, 0.9080422888589188, -0.11190345203924079]",0.5970823979528604,0.163787587971849
0,11,0.00012919136097230182,"[-0.47315121903749713, 0.3397954308143305, -0.2474633701351754, 0.9709322597056889, 0.33414660283855024, 0.9829347998917723]",0.5970823979528604,0.0
0,12,0.0001209372644523526,"[0.9471289479562688, -0.6370873514946569, -0.11725600511177947, 0.34558676695320756, 0.30713516815215347, -0.2339215237887673]",0.5970823979528604,0.0
0,13,0.00010403322641604773,"[0.3384636047386169, 0.4396712849100892, 0.5667289147204668, -0.3580349199523043, -0.8058786630044816, 0.6688352277814484]",0.5970823979528604,0.0
0,14,0.00010047102215592147,"[-0.9495549635969951, -0.5224635223069487, 0.7142166738589908, -0.8990791912174505, -0.6117816319035738, -0.048188651420691286]",0.5970823979528604,0.0
0,15,8.898577574456895e-05,"[-0.5296326904960202, -0.28179674837357593, -0.7096729657323231, -0.7287239573571942, -0.8044239778286684, -0.6966305915774378]",0.5970823979528604,0.0
0,16,7.530063129901679e-05,"[-0.7109605437343174, -0.9410512531424209, 0.4584296343464953, 0.3523877715378769, -0.11292297471319834, -0.7502492783767374]",0.5970823979528604,0.0
0,17,5.745643954488906e-05,"[-0.648452468934388, 0.2193968515791882, -0.4562045881481256, 0.42552799613488124, -0.2679708161392307, -0.44038607554571385]",0.5970823979528604,0.0
0,18,8.17213346429169e-05,"[0.7630053260772285, -0.6665670158741268, -0.7983071080037181, 0.9482437227640945, 0.9129040731948115, -0.7493902617003569]",0.5970823979528604,0.0
0,19,4.682572270987354e-05,"[-0.7369873823696107, -0.3190434371425017, 0.001088904457321238, 0.6951620217796701, 0.13636374366074544, -0.5671302423059497]",0.5970823979528604,0.0
0,20,5.235258997898887e-05,"[0.24288352176691186, -0.22757172300501538, -0.2304385084184406, -0.6217555669299004, 0.9147857521456948, -0.7537537288648326]",0.5970823979528604,0.0
1,1,0.0002541420147842772,"[-0.7290236726440764, 0.7757034054607559, 0.8652112797730049, -0.10886367190480972, -0.22352890777203482, -0.4848071293976821]",0.6078528501746426,0.0
1,3,0.00028850261252529063,"[-0.9165640543624978, 0.5389157438756231, -0.9936577664894115, -0.41438121590104626, 0.221828665333758, 0.8260547828412923]",0.6078528501746426,0.0
1,4,0.00024433169059697243,"[-0.3997699905107268, -0.5028027266585802, 0.33278420980665757, 0.9750658217196329, -0.06345918785114346, -0.7534252409472912]",0.6078528501746426,0.0
1,10,0.0003198976327575176,"[-0.843793361762009, 0.8757403771208427, 0.9181739752252265, -0.6175156302596874, 0.9080422888589188, -0.11190345203924079]",0.6078528501746426,0.0
1,21,0.00021304859871596482,"[-0.6058744003414749, 0.21679478450541914, -0.01928169657243267, 0.8989720218269719, -0.7633655404205875, 0.4132153025045455]",0.6078528501746426,0.0
1,22,0.00019603097501602636,"[0.549805452367341, -0.36380431138208724, -0.15368152637496996, 0.5205272208899181, 0.3146916192664344, 0.10649413460742993]",0.6078528501746426,0.0
1,23,0.00017083882331513222,"[0.8339352553713852, -0.4368421963606417, 0.00994489372517307, 0.21473401213296245, 0.10014762261415089, 0.20585552326062134]",0.6078528501746426,0.0
1,24,0.00017041989822960403,"[0.9812945433155065, 0.9198584781429018, 0.4931199645341869, -0.0880077594289485, -0.9027496086142295, 1]",0.6078528501746426,0.0
1,25,0.00015228508439323518,"[-0.49212777686317927, -0.2603018500343893, -0.8368461627175852, -0.7135088598448625, -0.8216296251800086, -0.7545454975477688]",0.6078528501746426,0.0
1,26,0.0001267921150076937,"[-0.4761605191129529, -0.29771342529558126, -0.7133394678660693, -0.6593533353844424, -0.7333837804277644, -0.6988130851191376]",0.6078528501746426,0.0
1,27,0.0001321998832305603,"[0.6422113253640396, -0.6890614642405497, -0.6953154023876637, 0.8994123178642104, 0.8288358083221306, -0.7494606595726175]",0.6078528501746426,0.0
1,28,0.00010981918063586307,"[-0.7384374936436666, -1, 0.8604794302696561, 0.32023720068694567, -0.04476791177050431, -0.8864572119947502]",0.6078528501746426,0.0
1,29,8.788298209481119e-05,"[0.4137274646268607, 0.14789473238949866, -0.7700607110784339, 0.2579927410639373, -0.07876377580855745, -0.49051588907602917]",0.6078528501746426,0.0
1,30,7.528696301561561e-05,"[-0.18463937567042324, -0.26748131935748476, -0.1294218643166939, -0.04717740481226956, 0.5751560814496984, -0.6723289071187275]",0.6078528501746426,0.0
1,31,6.450791565360265e-05,"[-0.709726304152378, -0.3111564449122141, 0.02512717855161655, 0.6927464192824065, 0.13050694510700597, -0.5368228975718068]",0.6078528501746426,0.0
1,32,8.767549010231666e-05,"[-1, 1, 0.9153838701860161, -0.9477626675261795, 0.9532379641787593, -0.37347335252094793]",0.6078528501746426,0.0
1,33,6.126941823184376e-05,"[-0.8634641707353151, 0.7846925557891808, 0.4013824533025798, -0.5626059115534181, 0.7225503466927267, -0.0417208906581428]",0.6078528501746426,0.0
1,34,4.737697631885576e-05,"[-0.7519366244775658, 0.746773613194412, 0.41960376504653385, -0.14619061293867322, -0.16911685780311633, -0.11427533267771511]",0.6078528501746426,0.0
1,35,4.823432930031115e-05,"[-0.8338810991599731, 1, 1, -0.45406271869969406, -0.27450631457056296, -0.3992603142181196]",0.6078528501746426,0.0
1,36,4.9433589211817655e-05,"[-1, -1, 0.7118021174472644, 1, 0.24226078782259342, -0.6474703807016156]",0.6078528501746426,0.0
2,1,0.0002541420147842772,"[-0.7290236726440764, 0.7757034054607559, 0.8652112797730049, -0.10886367190480972, -0.22352890777203482, -0.4848071293976821]",0.6076281973816958,0.0
2,3,0.00028850261252529063,"[-0.9165640543624978, 0.5389157438756231, -0.9936577664894115, -0.41438121590104626, 0.221828665333758, 0.8260547828412923]",0.6076281973816958,0.0
2,4,0.00024433169059697243,"[-0.3997699905107268, -0.5028027266585802, 0.33278420980665757, 0.9750658217196329, -0.06345918785114346, -0.7534252409472912]",0.6076281973816958,0.0
2,10,0.0003198976327575176,"[-0.843793361762009, 0.8757403771208427, 0.9181739752252265, -0.6175156302596874, 0.9080422888589188, -0.11190345203924079]",0.6076281973816958,0.0
2,37,0.00021662548872169982,"[0.6192027036676075, 0.09396681684433017, -0.32183804128556215, 0.4332407199027156, -0.22875789385473214, -0.44150978422319936]",0.6076281973816958,0.0
2,38,0.0001864786277420705,"[-0.9644753835644098, 0.5819263247613293, 0.8698625120772252, -0.9085248811150896, 0.9367652360822321, -0.38649425226756157]",0.6076281973816958,0.0
2,39,0.0001661821899779313,"[-0.14755891258571618, -0.2643970797906494, 0.08105263581174246, -0.6294101150838491, 0.6065562077744365, -0.6818980380801226]",0.6076281973816958,0.0
2,40,0.16264446508718464,"[-0.8082719935057319, 0.6219553705414429, 0.34550730598903984, -0.376181956534385, 0.6346299519513987, -0.1152451690615234]",0.6076281973816958,0.16250799744081892
2,41,0.0001306067864223387,"[-0.7976724568919171, 0.9555666538648321, 0.25180236267904677, -1, 0.953984640455271, 0.25016803933448084]",0.6076281973816958,0.0
2,42,0.00013412300564000714,"[-1, -1, 0.591644967292652, 1, 0.4577143566247735, -0.7509555762352309]",0.6076281973816958,0.0
2,43,9.512404024337866e-05,"[-0.8080775294288208, 0.9202613140784642, 0.8172385047513735, -0.3571165929228121, 0.3022041742418131, -0.3095211356827825]",0.6076281973816958,0.0
2,44,8.778101990974747e-05,"[-0.8642010763851915, 0.9043927872966577, 1, -0.7222294131852516, 1, -0.11137649381471398]",0.6076281973816958,0.0
2,45,7.225700623296557e-05,"[-0.8554316890085975, 0.32563428687311635, 0.6124118248957592, -0.5850280352558976, 0.7982951031958897, 0.038105631165483114]",0.6076281973816958,0.0
2,46,6.62035687955955e-05,"[-0.7240393619023099, 0.7819965742937414, 0.914614938174075, -0.10074385065679202, -0.12829779127912638, -0.5196462560448454]",0.6076281973816958,0.0
2,47,8.115034631979399e-05,"[-0.47382248379910313, -0.8548939211382408, 0.1861577069466312, 1, -0.01937716315756867, -0.8274006950951676]",0.6076281973816958,0.0
