Gen Number,Black Line Percentage,Gen Number,Diversity,Gen Number,Fitness,Gen Number,Fitness
0,0.163787587971849,0,0.5970823979528604,0,0.1639312590708424,0,0.0099181664660128
1,0.0,1,0.6078528501746426,1,0.0003198976327575,1,0.0001449988086568
2,0.1625079974408189,2,0.6076281973816958,2,0.1626444650871846,2,0.008266272859782
3,0.182341650671785,3,0.5617500875239837,3,0.1823418582835053,3,0.0168252885970751
4,0.2866282789507358,4,0.5760686978748409,4,0.2866311968155688,4,0.0246351824495508
5,0.0620601407549584,5,0.4867809150558055,5,0.0620602794126015,5,0.0058835539620682
6,0.1721049264235444,6,0.4231430450142223,6,0.1721050121232732,6,0.0116693368218137
7,0.8029430582213691,7,0.453582341193515,7,0.8030561208271826,7,0.0402781017383498
8,0.8490083173384517,8,0.4128173489701945,8,0.8493282149712092,8,0.0844519917163854
9,0.8080614203454894,9,0.4559848848125106,9,0.808381317978247,9,0.0897785489080181
10,0.2936660268714011,10,0.4716899915604846,10,0.293951231213347,10,0.0318434109805318
11,0.2610364683301343,11,0.4872573596676541,11,0.2613216726720802,11,0.0273065403924615
12,0.7728726807421625,12,0.5236190252093776,12,0.7731925783749201,12,0.044914104732574
13,0.7607165706973769,13,0.504706007880063,13,0.7610364683301344,13,0.043255307143535
14,0.7664747280870121,14,0.4950158187638419,14,0.7667946257197696,14,0.0501332776680381
15,0.2789507357645553,15,0.4800414898445142,15,0.2789556430965274,15,0.0368522953962134
16,0.7843889955214332,16,0.4753832225961223,16,0.7846725009329594,16,0.050959526155711
17,0.7600767754318618,17,0.4826922535664564,17,0.7603966730646193,17,0.0490047349298586
18,0.7127319257837492,18,0.5403842088422856,18,0.7129012704555735,18,0.0625895210831621
19,0.400511836212412,19,0.4708310596853312,19,0.4006083768553659,19,0.0428374050460034
20,0.4817658349328215,20,0.4839679846925725,20,0.482085732565579,20,0.0420072878049153
21,0.4305822136916187,21,0.4144268039397886,21,0.4309021113243762,21,0.0429994643519858
22,0.5361484325015995,22,0.4137228746035884,22,0.536468330134357,22,0.0365009535768554
23,0.3525271912987844,23,0.4284074364725224,23,0.3528470889315419,23,0.0261054124325005
24,0.4664107485604606,24,0.4134844488840055,24,0.4667306461932182,24,0.0392795212170538
25,0.4337811900191938,25,0.4383442993317351,25,0.4341010876519514,25,0.0386270585083844
26,0.6065259117082533,26,0.4632102811526472,26,0.6068458093410108,26,0.056643846696193
27,0.3262955854126679,27,0.4591957316136163,27,0.3266154830454255,27,0.0370738337615987
28,0.2757517594369801,28,0.5619205867191098,28,0.2760716570697377,28,0.0393780914559555
29,0.473448496481126,29,0.5473479916623888,29,0.4737683941138835,29,0.0651733116820536
30,0.3256557901471529,30,0.5729212481253217,30,0.3259756877799104,30,0.0482814038186937
31,0.3173384516954574,31,0.5205757692086911,31,0.3176583493282149,31,0.0534123079722235
32,0.3934740882917466,32,0.4983126661521061,32,0.3937939859245041,32,0.0502840971716367
33,0.1855406269993602,33,0.4665254373394228,33,0.1858605246321177,33,0.0437212893428851
34,0.7012156110044786,34,0.5075788650192962,34,0.7012732616082491,34,0.0765801373564556
35,0.3288547664747281,35,0.5185285354083028,35,0.3291376607834895,35,0.0429206208555328
36,0.7613563659628919,36,0.4927134417909313,36,0.7615331060443921,36,0.0529684262480139
37,0.8464491362763915,37,0.4804477710384948,37,0.8464875395109849,37,0.0993871757023954
38,0.3800383877159309,38,0.4500880393733276,38,0.3800692448094214,38,0.048897405965287
39,0.8029430582213691,39,0.4870592846639071,39,0.8032629558541267,39,0.0829444369439742
40,0.8112603966730646,40,0.4578493001529429,40,0.8115802943058221,40,0.0585429090334748
41,0.1944977607165707,41,0.4645588140263041,41,0.1947703996081569,41,0.0256358680155584
42,0.8010236724248241,42,0.4385863806782157,42,0.8010595037068615,42,0.0592004933480963
43,0.6525911708253359,43,0.3974276642623366,43,0.6526308629214691,43,0.0438783293761941
44,0.8931541906589892,44,0.4235565646065721,44,0.8932071523257769,44,0.0542559020577253
45,0.2277671145233525,45,0.4473911424359171,45,0.2277986989774717,45,0.0253554067523069
46,0.1305182341650671,46,0.4375483367841667,46,0.1307361185162066,46,0.0155284601961066
47,0.5886116442738324,47,0.4072682177925812,47,0.5886544183955835,47,0.0392746677676529
48,0.2117722328854766,48,0.4121951909907519,48,0.2120921305182341,48,0.0234822909952404
49,0.8272552783109405,49,0.4041229994743511,49,0.8274501103987563,49,0.0544584049343783
50,0.3774792066538707,50,0.4563803736025525,50,0.377551418159082,50,0.0356176544374157
51,0.2380038387715931,51,0.4335716179191255,51,0.2382280219732419,51,0.0120300394393072
52,0.0946896992962252,52,0.4301952661878278,52,0.0946900135375147,52,0.0048490124949686
53,0.7786308381317978,53,0.4534087943073162,53,0.7786473913680992,53,0.0523638478150148
54,0.3007037747920665,54,0.4393781343066962,54,0.3008266356134969,54,0.0394643238444202
55,0.508637236084453,55,0.466328831495676,55,0.5086643992327445,55,0.0507289272476542
56,0.3071017274472168,56,0.485067342949546,56,0.3071548259449156,56,0.0418996567142717
57,0.5131158029430583,57,0.4712644623344191,57,0.5134357005758158,57,0.0549115071646646
58,0.5150351887396033,58,0.5068852711395652,58,0.5153550863723608,58,0.0759729908342742
59,0.2853486884197057,59,0.4901659493849073,59,0.2856239211643505,59,0.0437023061155995
60,0.3493282149712092,60,0.504687505011154,60,0.349603447715854,60,0.0516994286629899
61,0.581573896353167,61,0.4510653813045469,61,0.5818937939859246,61,0.0868864076459866
62,0.581573896353167,62,0.4399588477217426,62,0.5818491290978118,62,0.0711796028938337
63,0.5399872040946897,63,0.4137980940042693,63,0.5403071017274472,63,0.0571977480656419
64,0.3192578374920025,64,0.359356015556117,64,0.3195330702366473,64,0.0664872793094043
65,0.436980166346769,65,0.3896870303233373,65,0.4372208968805356,65,0.0583782446613955
66,0.7786308381317978,66,0.3945538512866239,66,0.7787722662072003,66,0.114296815272798
67,0.8067818298144593,67,0.3912828963245636,67,0.8071017274472169,67,0.080868500111021
68,0.6647472808701216,68,0.4254639620640866,68,0.6650671785028791,68,0.1247928349042953
69,0.7939859245041587,69,0.3437916594490326,69,0.7943058221369163,69,0.0901402570501992
70,0.8835572616762636,70,0.372460447163877,70,0.8837225873714936,70,0.1753324399935159
71,0.8771593090211133,71,0.3820131061787542,71,0.8774792066538708,71,0.1612880370782184
72,0.783109404990403,72,0.4307435841885476,72,0.7833435942699554,72,0.1512633062380809
73,0.7005758157389635,73,0.4225429992137124,73,0.700799827361911,73,0.0627634551501751
74,0.7875879718490083,74,0.3776921781697469,74,0.7879078694817658,74,0.0872344429244344
75,0.6884197056941779,75,0.3987077211927185,75,0.6887396033269354,75,0.0704528672966794
76,0.8042226487523992,76,0.4252263105266512,76,0.8045425463851568,76,0.0625735363018712
77,0.7837492002559181,77,0.3759334516657684,77,0.7840690978886756,77,0.0704018449631766
78,0.81829814459373,78,0.4008487952476732,78,0.818473683121936,78,0.1056293772154591
79,0.7709532949456174,79,0.4449592218761255,79,0.7712326743925916,79,0.0939356510509719
80,0.5489443378119002,80,0.4322921294408421,80,0.5492642354446577,80,0.0473140394784558
81,0.5374280230326296,81,0.4083581042307641,81,0.5377479206653871,81,0.0278488691581733
82,0.5515035188739603,82,0.4033701426340642,82,0.5518234165067178,82,0.027703498364645
83,0.6026871401151631,83,0.4256298812019764,83,0.6030070377479206,83,0.0302649968154875
84,0.4395393474088291,84,0.4926746939831313,84,0.4398592450415867,84,0.0221125867025505
85,0.5239923224568138,85,0.4835548114365876,85,0.5243122200895713,85,0.0263325527256781
86,0.5009596928982726,86,0.4709288824784762,86,0.5012795905310301,86,0.0251797664868408
87,0.6417146513115803,87,0.4720709017981215,87,0.6420345489443379,87,0.0322197101733112
88,0.6269993602047345,88,0.4722523582908537,88,0.627319257837492,88,0.0314836875243641
89,0.6711452335252719,89,0.4787053205781083,89,0.6712446627068941,89,0.0653937683245984
90,0.708893154190659,90,0.4451145512401172,90,0.7088945572504518,90,0.0673898965775323
91,0.8227767114523352,91,0.5096726341677591,91,0.8227839831698225,91,0.07300453522561
92,0.7671145233525272,92,0.4865194236427607,92,0.767146513115803,92,0.0701137209535947
93,0.6397952655150352,93,0.530251212717291,93,0.6400818506629188,93,0.0459160770156071
94,0.5962891874600128,94,0.530251212717291,94,0.5966090850927703,94,0.0447004423714609
95,0.5233525271912988,95,0.4401250937695226,95,0.5236724248240563,95,0.039701680705316
96,0.836212412028151,96,0.4649476842089835,96,0.8363196123338443,96,0.0866635518006438
97,0.8298144593730007,97,0.4982439844055212,97,0.8301343570057582,97,0.1040322332233618
98,0.8470889315419066,98,0.5380914843212059,98,0.8474088291746641,98,0.0830873277012927
99,0.8643634037108126,99,0.5731475340243165,99,0.8646833013435701,99,0.1009395443144249
100,0.8266154830454254,100,0.5111756688284087,100,0.826935380678183,100,0.1044228279688285
101,0.8342930262316058,101,0.5311642650804419,101,0.8346129238643634,101,0.0997027120575659
102,0.854766474728087,102,0.5603819863944116,102,0.8550863723608445,102,0.1181274233614723
103,0.8445297504798465,103,0.4724299542232261,103,0.844849648112604,103,0.1021736235014879
104,0.8438899552143314,104,0.4456955440176434,104,0.8442098528470889,104,0.0945150514729915
105,0.855406269993602,105,0.4589800080986917,105,0.8557261676263596,105,0.0910709154762729
106,0.8413307741522713,106,0.3822125930844653,106,0.8416506717850288,106,0.0980397014660285
107,0.81829814459373,107,0.3785568853302545,107,0.8186180422264875,107,0.1029176707173787
108,0.8566858605246321,108,0.4251464136720645,108,0.8570057581573897,108,0.0872590690139355
109,0.8214971209213052,109,0.3771582633685356,109,0.8218170185540628,109,0.1103628300969719
110,0.8592450415866922,110,0.3529007768675407,110,0.8595649392194498,110,0.118094493066417
111,0.8624440179142674,111,0.3934433454175871,111,0.8627639155470249,111,0.1370875632531018
112,0.8349328214971209,112,0.4209748231399574,112,0.8352527191298784,112,0.1234776508240694
113,0.8221369161868202,113,0.4152177691758346,113,0.8224568138195777,113,0.0959056222712263
114,0.8771593090211133,114,0.4493307442185204,114,0.877273613032472,114,0.2398188187853729
115,0.8861164427383237,115,0.4603418605245793,115,0.8864363403710812,115,0.2162257123111763
116,0.8701215611004478,116,0.5029741815413618,116,0.8704414587332053,116,0.1512652247571451
117,0.872040946896993,117,0.4449097752676116,117,0.8723608445297505,117,0.1653957761026943
118,0.8618042226487524,118,0.4143295636331197,118,0.86212412028151,118,0.1933526896026579
119,0.8771593090211133,119,0.4678939141927619,119,0.8774792066538708,119,0.1691440134395704
120,0.8848368522072937,120,0.4824031828724689,120,0.8851567498400512,120,0.1580433030736716
