Gen Number,ID,Fitness,Weights,Diversity,Black Line Percentage
0,1,0.0,"[0.36342542725868343, -0.5575440210270239, 0.09799539686573411, 0.6976934389501706, 0.4731338026185494, -0.0007548274380835274, -0.24067001387347298, 0.5750416212003462, -0.6622613848700292, 0.1727172279796918]",0.5370049145702505,0.0
0,2,0.012795905310300703,"[-0.13757865856826546, -0.876179629608361, -0.4210904506117903, 0.46829079669227003, -0.4226890901110507, -0.21920377173899852, 0.2712346474246541, 0.6622977134784165, -0.3611579988534328, -0.6815504247507107]",0.5370049145702505,0.012795905310300703
0,3,0.0,"[0.42332843189341185, 0.7454172861817472, 0.18631273085010314, 0.3894257577724278, -0.6535333594133945, 0.06346518460936745, 0.7419172413134583, 0.6821805361073265, 0.944111080043899, 0.5645144194267195]",0.5370049145702505,0.0
0,4,0.0,"[-0.6059389872552594, 0.22125213121790033, -0.04228898817655802, 0.23327399216464562, -0.7201335134166906, -0.1775283675609607, 0.5552606788754164, 0.8794510392179049, -0.7908411836331286, 0.8769643946192587]",0.5370049145702505,0.0
0,5,0.0,"[0.5947743434185746, -0.33839456265400725, -0.3764284989822928, -0.4196923600118805, -0.6522208186071348, 0.7622991120613594, 0.6401129744062757, 0.47331775520541775, 0.6939364610046592, 0.2182312475326711]",0.5370049145702505,0.0
0,6,0.0,"[-0.3115339887441839, -0.5406620171139012, 0.8892515769056741, -0.4165485781150746, -0.1799108280385746, -0.32467144929136005, 0.898657191236534, -0.5381421348501556, -0.6610559218539471, -0.0182047351692749]",0.5370049145702505,0.0
0,7,0.0,"[0.8095068955026479, 0.7679993746002154, -0.6101768144496404, 0.040435933169225224, -0.6502013521998147, 0.799091757664611, -0.24360133158671426, 0.4057625661799953, 0.023490904186063366, 0.26970212262162097]",0.5370049145702505,0.0
0,8,0.0,"[0.8679898818814826, -0.5790195551132944, -0.32759198474106355, 0.31893436424601873, -0.17079327430201552, -0.48937311982573406, 0.75120449860437, -0.19641738159070998, 0.12273585778354779, -0.6566338051288285]",0.5370049145702505,0.0
0,9,0.0,"[-0.9824441296521014, -0.18242256832373305, -0.7930622296642276, 0.05009365202481075, -0.08027805957708356, -0.17695158763351482, 0.5159523198120122, -0.9644331448741357, 0.22573515531697308, 0.30228485272269645]",0.5370049145702505,0.0
0,10,0.0,"[0.44413360233391996, 0.1471708764261741, 0.9937142137293891, 0.2201031021621016, 0.004724710924850939, -0.29235132945855713, -0.713211534954348, 0.5267348445666609, 0.7331495038417029, -0.0663698072611052]",0.5370049145702505,0.0
0,11,0.010236724248240563,"[0.8841735696432469, 0.38839492900887174, 0.442372714910396, 0.20696716158839257, 0.7521962406444034, 0.7629175991092849, 0.827649833720222, -0.9176461901779476, 0.6015594577500536, 0.9823837342750816]",0.5370049145702505,0.010236724248240563
0,12,0.0,"[-0.7471944751484172, -0.7139481726960943, -0.8663372307289172, -0.3189450574882686, 0.5926327750006433, 0.13297099284478908, 0.4823525817292871, -0.48553144737951914, 0.21915085695601721, 0.8788785682475975]",0.5370049145702505,0.0
0,13,0.0,"[0.4793343160268131, -0.2707363994882288, -0.3025654486212743, -0.7329382091240273, 0.6869116529048136, -0.14475937204707456, 0.5629167211955222, -0.6205509260291553, -0.9924640359822832, 0.760521355572159]",0.5370049145702505,0.0
0,14,0.0,"[0.7609281358254059, 0.16425473121254908, -0.799741831693265, 0.02449641776634781, -0.02278225813683421, -0.018845276576532344, 0.509916953366266, 0.8460068785374915, -0.33391184456339684, 0.23283231708173124]",0.5370049145702505,0.0
0,15,0.0,"[0.9928133567749768, 0.5689864912927112, 0.7335669435247192, 0.893011156580116, -0.12803616776526128, -0.8082073461041501, 0.5006581473141287, 0.6076303539233516, -0.32464226211892755, -0.6800417466021254]",0.5370049145702505,0.0
0,16,0.0,"[0.7297657493831593, -0.4157282174505137, -0.6955047804445567, -0.7777582567997658, -0.5920354038619178, 0.42268863664034506, 0.8676548818218937, -0.9194918153709601, -0.3425617914471937, 0.7451923179947328]",0.5370049145702505,0.0
0,17,0.0,"[-0.1310545697772818, 0.4254449951094954, -0.020358719925348323, -0.3840287518467953, 0.41899515107478336, 0.20549569064756534, -0.09654540125072275, -0.19343041206752343, -0.08659034082005967, 0.2210353590356271]",0.5370049145702505,0.0
0,18,0.0,"[0.11240253548103252, 0.8844462835180684, 0.4962817054658575, 0.7289653876625162, -0.619844603476003, -0.9442045194351576, -0.8019814208940854, 0.6854160917483059, -0.29314064980340326, -0.044123568900926946]",0.5370049145702505,0.0
0,19,0.0,"[0.014431450294674297, -0.6499300214684589, 0.3385960922578395, -0.3688732983714631, 0.3305749072367594, -0.5063591552905558, 0.8269260458613097, -0.48552365455881286, -0.24996486531263784, -0.19652752316155353]",0.5370049145702505,0.0
0,20,0.0,"[-0.5590038450252857, 0.35458184217213495, -0.12334883584666767, 0.8672672390407854, -0.22399179911769185, -0.4191481576114602, -0.4397634793493095, 0.3204289976601147, -0.7761226122892457, -0.6727043384435674]",0.5370049145702505,0.0
1,1,0.0,"[0.36342542725868343, -0.5575440210270239, 0.09799539686573411, 0.6976934389501706, 0.4731338026185494, -0.0007548274380835274, -0.24067001387347298, 0.5750416212003462, -0.6622613848700292, 0.1727172279796918]",0.5540675814724059,0.0
1,2,0.017914267434420986,"[-0.13757865856826546, -0.876179629608361, -0.4210904506117903, 0.46829079669227003, -0.4226890901110507, -0.21920377173899852, 0.2712346474246541, 0.6622977134784165, -0.3611579988534328, -0.6815504247507107]",0.5540675814724059,0.017914267434420986
1,3,0.0,"[0.42332843189341185, 0.7454172861817472, 0.18631273085010314, 0.3894257577724278, -0.6535333594133945, 0.06346518460936745, 0.7419172413134583, 0.6821805361073265, 0.944111080043899, 0.5645144194267195]",0.5540675814724059,0.0
1,11,0.0,"[0.8841735696432469, 0.38839492900887174, 0.442372714910396, 0.20696716158839257, 0.7521962406444034, 0.7629175991092849, 0.827649833720222, -0.9176461901779476, 0.6015594577500536, 0.9823837342750816]",0.5540675814724059,0.0
1,21,0.0,"[0.8758972995948056, 0.3418529703342162, -1, 0.33374193219510206, -0.3125361864831721, -0.3936650435059821, 0.4882782008124631, 1, -0.14579863875599242, 0.01738736332203844]",0.5540675814724059,0.0
1,22,0.0,"[0.946237957641904, 0.48769393116157567, 0.42559359400473623, 0.7185652800919161, -0.10689535149768863, -0.6496597107774787, 0.5025178285202362, 0.6555095664595953, -0.3265041078216426, -0.49668606011121164]",0.5540675814724059,0.0
1,23,0.0,"[1, 0.967845338754869, 1, 1, 0.05990679570385973, -1, 0.3520060623514039, 1, -0.31738395394959124, -1]",0.5540675814724059,0.0
1,24,0.0,"[0.36553350430046594, 0.11728895851638654, -0.9117727507212978, -0.9038807151145802, -0.9158964745105063, 0.4922615488367985, 1, -1, -0.42455653201244403, 0.9130942998760146]",0.5540675814724059,0.0
1,25,0.0,"[-0.023722651669678706, 0.6278029778287975, 0.20741038860130612, 0.10665233018326356, -0.038993796686927706, -0.30136784355063684, -0.4075480356169634, 0.19402297885581452, -0.44928073751999686, -0.5015443427079443]",0.5540675814724059,0.0
1,26,0.0,"[0.009643203827833239, -0.7249212488002901, 0.3308893532860424, -0.42252915203037095, 0.3770257846107386, -0.48495986677700925, 0.906537396574291, -0.5427522551451369, -0.24785468865033233, -0.20397612592157138]",0.5540675814724059,0.0
1,27,0.0,"[-0.8005261333268222, 0.7776670723848078, -0.31791306482883486, 1, -0.4575669226367955, -0.38241620215559247, -0.7777381738504345, 0.6598840859940056, -0.997732311054762, -0.8732628234229047]",0.5540675814724059,0.0
