Gen Number,Black Line Percentage,Gen Number,Diversity,Gen Number,Fitness,Gen Number,Fitness
0,0.0543825975687779,0,0.4450813859886562,0,0.0034217445496078,0,-0.009639151028743
1,0.400511836212412,1,0.4278572800684996,1,0.0038440465422068,1,-0.0072966688424013
2,0.0882917466410748,2,0.4498544875857516,2,0.0012117356202611,2,-0.005963202126152
3,0.0818937939859245,3,0.4694782565184539,3,0.0030261830020468,3,-0.0191528865556016
4,0.6065259117082533,4,0.4879927546181331,4,0.0043645377029793,4,-0.0064961473701574
5,0.9488163787587972,5,0.4494385905041843,5,0.0048727482053184,5,-0.0188217656897619
6,0.0607805502239283,6,0.441417023813213,6,0.0048973757869805,6,-0.0029464876186086
7,0.9168266154830454,7,0.4520940248140877,7,0.0030101640745118,7,-0.0032001987051509
8,0.1561100447856686,8,0.4329049215850979,8,0.0025360411171182,8,-0.007145101053483
9,0.2463211772232885,9,0.4380165063383873,9,0.0037480100554037,9,-0.0152512615029947
10,0.0908509277031349,10,0.4831362722245138,10,0.0037785238457925,10,-0.0055757615577967
11,0.1132437619961612,11,0.4452644415177207,11,0.0038734269131673,11,-0.0045350346424235
12,0.1529110684580934,12,0.4884973868772093,12,0.0036690373795052,12,-0.0095138254719859
13,0.9532949456174024,13,0.4899031938138021,13,0.0030806295443769,13,-0.0054545973880488
14,0.2341650671785028,14,0.4473282479061285,14,0.0043554021263051,14,-0.0120717916723948
15,0.1753039027511196,15,0.429618595255117,15,0.001365600493579,15,-0.0075572617212852
16,0.1004478566858605,16,0.3674453361792975,16,0.001879292811131,16,-0.0020918329666898
17,0.7504798464491362,17,0.361563357138991,17,0.0029463048720951,17,-0.0044034422646829
18,0.9494561740243124,18,0.3688386049764875,18,0.0018111744805942,18,-0.0012617102264717
19,0.0710172744721689,19,0.3477488724457923,19,0.0025087657437883,19,-0.0021978040303343
20,0.7786308381317978,20,0.3360996319197152,20,0.0027313539257395,20,-0.0073354722685733
21,0.2092130518234165,21,0.3487012839301628,21,0.0016324911631525,21,-0.0097820659399835
22,0.7165706973768394,22,0.3756352221783928,22,0.0017670224797295,22,-0.0019916876957803
23,0.9564939219449776,23,0.3561714810279581,23,0.0020506320143611,23,-0.0053005582175384
24,0.9174664107485604,24,0.3958775580988942,24,0.0032928834530148,24,-0.0277872211670775
25,0.1330774152271273,25,0.3736981232319277,25,0.0019146496804048,25,-0.0145919751913212
26,0.0671785028790787,26,0.3531927642434689,26,0.0027193370164264,26,-0.0048991333047435
27,0.9539347408829176,27,0.3735876234444696,27,0.0018871935701409,27,-0.0099862009662293
28,0.1420345489443378,28,0.385458688465325,28,0.0041587340253607,28,-0.0067660830817214
29,0.0607805502239283,29,0.3543598808280877,29,0.002159186533071,29,-0.0162693734691795
30,0.1535508637236084,30,0.3285855215446673,30,0.0019775322796531,30,-0.0486132656146188
31,0.3979526551503519,31,0.3206284566009296,31,0.0032373412666379,31,-0.027429880369157
32,0.1605886116442738,32,0.2702187615710164,32,0.0029904097605642,32,-0.0070880906189413
33,0.1087651951375559,33,0.2454844392044789,33,0.0025573399224011,33,-0.0227804579193293
34,0.0690978886756238,34,0.2676472615187169,34,0.0010941594310399,34,-0.0221793087515149
35,0.0243122200895713,35,0.2880155152792777,35,0.0031411308121305,35,-0.0198543649496083
36,0.0511836212412028,36,0.2598202454997472,36,0.0026981555999208,36,-0.0432869286610547
37,0.0614203454894433,37,0.2739470017639346,37,0.0030414721566326,37,-0.0471488492007908
38,0.81829814459373,38,0.3000153852862038,38,0.003572710657867,38,-0.0476195399089833
39,0.1983365323096609,39,0.3057768104036609,39,0.0055490371197035,39,-0.0531998576632829
40,0.4088291746641075,40,0.3453597493713921,40,0.0054347271474758,40,-0.0622791209039126
41,0.1477927063339731,41,0.3078163095985977,41,0.0037225271728733,41,-0.0200074780904871
42,0.0985284708893154,42,0.3402291246724119,42,0.0035350191968274,42,-0.0337847820652676
43,0.0690978886756238,43,0.280189502420457,43,0.0034951972029831,43,-0.0369485558011926
44,0.1126039667306462,44,0.2811278998356202,44,0.006096906211705,44,-0.0562162248290718
45,0.200255918106206,45,0.2888910666388784,45,0.0040734492450703,45,-0.0282469049158598
46,0.8195777351247601,46,0.2955288156114514,46,0.0027717028347764,46,-0.0198174311522639
47,0.1183621241202815,47,0.2527537469776278,47,0.0029966048647618,47,-0.0300856200542948
48,0.1196417146513115,48,0.2366517556437524,48,0.0014615893979134,48,-0.0121255799073386
49,0.7242482405630198,49,0.2394843178723968,49,0.0035042207289037,49,-0.0244592286182862
50,0.0934101087651951,50,0.2041654292640555,50,0.0018503215423496,50,-0.0221409256073373
51,0.0492642354446577,51,0.2203134222896262,51,0.0039492038412759,51,-0.0086171586560198
52,0.0959692898272552,52,0.179160471212975,52,0.0024995573690848,52,-0.0050143445950548
53,0.9129878438899552,53,0.193566353629766,53,0.0035292208298662,53,-0.0172784633313948
54,0.4427383237364043,54,0.2170427463699817,54,0.0019030035666624,54,-0.0129744569823954
55,0.9532949456174024,55,0.2386142395962432,55,0.0046149271032012,55,-0.0064166619885318
56,0.9142674344209852,56,0.2283973163830365,56,0.0017181363949986,56,-0.0070837928820559
57,0.0748560460652591,57,0.2549749787397498,57,0.0025635055210056,57,-0.0065532007391252
58,0.0710172744721689,58,0.2342097465532945,58,0.0031342783126493,58,-0.0086746072753791
59,0.9507357645553424,59,0.2279736998693886,59,0.0025646565633336,59,-0.003958090287139
60,0.0531030070377479,60,0.2243839915288571,60,0.0010507545472231,60,-0.0085538464630376
61,0.9558541266794626,61,0.2481323508297585,61,0.0010923541249469,61,-0.0059548806718555
62,0.1599488163787588,62,0.2386187039315471,62,0.0017064976257274,62,-0.0118889581398618
63,0.0754958413307741,63,0.2028757495968911,63,0.0023209826698146,63,-0.0097304095324459
64,0.1170825335892514,64,0.2261475688395033,64,0.0014558830393452,64,-0.0256933312358175
65,0.9584133077415228,65,0.2479330923768767,65,0.000965272663216,65,-0.0179341604879209
66,0.109404990403071,66,0.2632242672185886,66,0.0052975726273432,66,-0.0154715331736988
67,0.1126039667306462,67,0.2659578429335519,67,0.0013188279945316,67,-0.0180055388772989
68,0.1829814459373,68,0.2476395259637687,68,0.0011937574095697,68,-0.0166266181691015
69,0.9251439539347408,69,0.2561475849407428,69,0.001755209998586,69,-0.009073527497149
70,0.0806142034548944,70,0.2333737581413505,70,0.0013035995237262,70,-0.0124945426716939
71,0.9558541266794626,71,0.2555186848859095,71,0.0007709864417121,71,-0.0095804919486573
72,0.0262316058861164,72,0.261073522358531,72,0.0009364541589265,72,-0.0151656868534208
73,0.7108125399872041,73,0.2769668089652704,73,0.0027021867029132,73,-0.0245590606467078
74,0.9596928982725528,74,0.2951257729890446,74,0.0009368015612432,74,-0.0130835056255591
75,0.0518234165067178,75,0.2998754060641663,75,0.0013675438183429,75,-0.0198585559538578
76,0.09149072296865,76,0.2950035951472443,76,0.0028629013301704,76,-0.01807616890142
77,0.889315419065899,77,0.3173000380820808,77,0.0016174790159619,77,-0.0225925889197639
78,0.1036468330134357,78,0.3143417128476411,78,0.003904978327768,78,-0.0447020838412591
79,0.0876519513755598,79,0.3257297222265986,79,0.0035351233348169,79,-0.0231698857475745
80,0.0294305822136916,80,0.3440767664403388,80,0.0040103739402293,80,-0.0143760884146496
81,0.055662188099808,81,0.3294318588042914,81,0.0008627409687506,81,-0.0151408894355364
82,0.8400511836212412,82,0.3297993166250206,82,0.0021498643079993,82,-0.0192594658999313
83,0.0678182981445937,83,0.3720940736020599,83,0.0010438909866183,83,-0.0205906048520249
84,0.0710172744721689,84,0.3713931603772666,84,0.0028070144568499,84,-0.0159140667495618
85,0.0563019833653231,85,0.3484681402653058,85,0.0025608760433131,85,-0.0054177282348012
86,0.9571337172104928,86,0.3423338273255467,86,0.0017726414603132,86,-0.0046779488557424
87,0.0940499040307101,87,0.3763332101096421,87,0.0016144854561111,87,-0.0144993319062393
88,0.037747920665387,88,0.3522801538451051,88,0.0007834202608614,88,-0.0152823384667385
89,0.945617402431222,89,0.3456460898326461,89,0.0029239686093121,89,-0.0095252658271535
90,0.1785028790786948,90,0.3622009399558012,90,0.002436189632438,90,-0.0189264240237222
91,0.7927063339731286,91,0.3746928609609349,91,0.0011888236150555,91,-0.0247539050462665
92,0.0806142034548944,92,0.3455354532642688,92,0.0021343544704876,92,-0.0269534950630349
93,0.0646193218170185,93,0.3607212391647747,93,0.0015245645929036,93,-0.0174832178174547
94,0.0518234165067178,94,0.3704424893479274,94,0.0033611643486934,94,-0.0510254180750188
95,0.0953294945617402,95,0.373188150984625,95,0.0012064050077534,95,-0.0460504724331563
96,0.0396673064619321,96,0.3755387413285497,96,0.0047203593742486,96,-0.0358758701173505
97,0.1132437619961612,97,0.374066715565142,97,0.0021553750076289,97,-0.0398707325578815
98,0.8822776711452335,98,0.362826533681708,98,0.0012464416501251,98,-0.0403331053042646
99,0.872680742162508,99,0.3638470686001621,99,0.0016171611496499,99,-0.0228876567536119
100,0.8138195777351248,100,0.3203484627049919,100,0.0006558626301357,100,-0.0180338401848777
101,0.0563019833653231,101,0.3678613847285122,101,0.0013885256638198,101,-0.0225258343176506
102,0.0940499040307101,102,0.3669427277856985,102,0.0060961762051754,102,-0.0826373555628014
103,0.1247600767754318,103,0.3570901165710157,103,0.0011829503519291,103,-0.0762833607597746
104,0.1381957773512476,104,0.2700667231898672,104,0.0023851496489295,104,-0.0234715928036903
105,0.1209213051823416,105,0.3080434285130772,105,0.001873586136853,105,-0.0314473973244818
106,0.0524632117722328,106,0.324615301819125,106,0.0024212231428133,106,-0.0441874653645143
107,0.9564939219449776,107,0.2963886850082239,107,0.0008982044781587,107,-0.0357777937970964
108,0.9430582213691618,108,0.2706157219066918,108,0.0031240442674483,108,-0.0182763979287472
109,0.0607805502239283,109,0.2595382905485483,109,0.0010791292258173,109,-0.0291954396381426
110,0.1932181701855406,110,0.2872219052457417,110,0.0030710306569527,110,-0.0480067859187118
111,0.0595009596928982,111,0.2849266484592173,111,0.0009884481660787,111,-0.02867510408145
112,0.0607805502239283,112,0.2989176265031349,112,0.0014612129887406,112,-0.018670450693708
113,0.0505438259756877,113,0.3030483575445927,113,0.0019512014691412,113,-0.0266856353157451
114,0.2770313499680102,114,0.3067046386103877,114,0.0042270283296864,114,-0.0334083017220279
115,0.6871401151631478,115,0.255306045040182,115,0.0010950199793208,115,-0.0168485925160355
116,0.0601407549584133,116,0.3134503686451678,116,0.002020449364077,116,-0.021355423499542
117,0.9507357645553424,117,0.3267618456672536,117,0.0015558183652168,117,-0.033285867633292
118,0.2789507357645553,118,0.3110970465078537,118,0.0015165574263452,118,-0.0165390751305712
119,0.0454254638515674,119,0.3315983408291174,119,0.002200096835201,119,-0.0401909752714325
120,0.0537428023032629,120,0.3729505629389275,120,0.00085371350721,120,-0.0836826867603649
121,0.0614203454894433,121,0.3491508135643517,121,0.0038685818028183,121,-0.0898830430651835
122,0.8240563019833653,122,0.382202206430712,122,0.0035749355631569,122,-0.0452127191469016
123,0.6711452335252719,123,0.4064453921793119,123,0.0012359696576339,123,-0.0423384401855851
124,0.0607805502239283,124,0.3562599138013042,124,0.0018899718958762,124,-0.0198062197545246
125,0.0639795265515035,125,0.3643812528071565,125,0.0013884170429462,125,-0.0276164364640549
126,0.0479846449136276,126,0.3125345307553101,126,0.0017076581474756,126,-0.0180026604286846
127,0.0684580934101087,127,0.2939342694624172,127,0.0026709107534631,127,-0.0182056716658269
128,0.0652591170825335,128,0.302073649144544,128,0.0021002473550312,128,-0.0330225986201164
129,0.0806142034548944,129,0.2673589038420971,129,0.0019615089328084,129,-0.0156414532053839
130,0.9564939219449776,130,0.2757583979780699,130,0.0014535151394331,130,-0.0116199701692186
131,0.0946896992962252,131,0.3004259971902902,131,0.0015177201899784,131,-0.0110175828334398
132,0.9571337172104928,132,0.3152439355645384,132,0.000871014706428,132,-0.0215415897560578
133,0.3218170185540627,133,0.3216663586333382,133,0.0008447293787719,133,-0.0167510566318052
134,0.0678182981445937,134,0.3620678913997341,134,0.003486212459709,134,-0.0127999840872951
135,0.9564939219449776,135,0.3572413420348825,135,0.0020597134070244,135,-0.0333358502301412
136,0.0518234165067178,136,0.3481260758474769,136,0.0013451355305887,136,-0.0364573132462664
137,0.9577735124760076,137,0.3246284449638109,137,0.0007788593324672,137,-0.0294084603443376
138,0.055022392834293,138,0.3371819763097683,138,0.0009975825233799,138,-0.0163416205507043
139,0.0710172744721689,139,0.3869878646862379,139,0.0014085521329949,139,-0.0244622065136027
140,0.1305182341650671,140,0.3716070602345009,140,0.0006929002129039,140,-0.038865634482583
141,0.055662188099808,141,0.3736311163358092,141,0.0015797591824058,141,-0.0266936194356983
142,0.1138835572616762,142,0.3510310890101646,142,0.0027332328435085,142,-0.0135498610667186
143,0.0799744081893794,143,0.332108178208197,143,0.0018994095868694,143,-0.0199752878681003
144,0.0588611644273832,144,0.3255056174407815,144,0.0012354945767607,144,-0.0258134120214057
145,0.0838131797824696,145,0.3427097567053691,145,0.0026962376176598,145,-0.0279599374994884
146,0.036468330134357,146,0.4082399573949519,146,0.0011075255330698,146,-0.0231183449953868
147,0.0383877159309021,147,0.4146673399459562,147,0.0020360016553534,147,-0.0285365685203234
148,0.0435060780550223,148,0.3993893118005652,148,0.0011380258030735,148,-0.0247778349084395
149,0.9545745361484324,149,0.3908428163394533,149,0.002122178080329,149,-0.0324243824464551
150,0.074216250799744,150,0.413210964489825,150,0.004048696317154,150,-0.0463460285288944
151,0.1541906589891234,151,0.3978022627554125,151,0.0014793693975585,151,-0.0491470134110003
152,0.7562380038387716,152,0.3832684151588563,152,0.0044841683089101,152,-0.0481491065652654
153,0.1241202815099168,153,0.339381625257097,153,0.0012883178072357,153,-0.0416601183667553
154,0.1055662188099808,154,0.3868578855463142,154,0.0026695110344989,154,-0.0393780603496637
155,0.0703774792066538,155,0.3231443257801474,155,0.0021419060772306,155,-0.0287474257865937
156,0.0575815738963531,156,0.3140037039165855,156,0.0007247211821718,156,-0.024290397660367
157,0.1030070377479206,157,0.3272570454021969,157,0.0030344672684188,157,-0.0154917630188408
158,0.1932181701855406,158,0.3214889139434877,158,0.001103614481102,158,-0.0318565576781088
159,0.0716570697376839,159,0.3609139101778387,159,0.0019871646844065,159,-0.0222707006410883
160,0.0531030070377479,160,0.3144057382500814,160,0.0019356220106191,160,-0.0599184903586628
161,0.0838131797824696,161,0.3377696088525699,161,0.0023857744553174,161,-0.0393302457280742
162,0.9584133077415228,162,0.3884861395546093,162,0.0025033701186746,162,-0.0075487504618457
163,0.055662188099808,163,0.3839867660785212,163,0.0024352066787536,163,-0.0202024143542401
164,0.1004478566858605,164,0.3738457779860367,164,0.0018067228933449,164,-0.0357570660647803
165,0.0671785028790787,165,0.3803037545767255,165,0.0028976804552442,165,-0.0176981485434962
166,0.0620601407549584,166,0.417473564386226,166,0.0015865628459998,166,-0.0300267058877133
167,0.0569417786308381,167,0.3870853274982112,167,0.001446434343693,167,-0.0348236222160396
168,0.0908509277031349,168,0.3608548921199569,168,0.0022816498677163,168,-0.018857246463024
169,0.0722968650031989,169,0.351861436051895,169,0.0028669564121822,169,-0.0373415421231936
170,0.0690978886756238,170,0.3560534045480458,170,0.0024553149403616,170,-0.0365024281254268
171,0.3205374280230326,171,0.3640786056765251,171,0.0028025769907245,171,-0.0355411951945848
172,0.145233525271913,172,0.3757940168745698,172,0.0015930422902072,172,-0.0404721005353561
173,0.0447856685860524,173,0.3755554898461641,173,0.0014250538395234,173,-0.0221297748068032
174,0.0620601407549584,174,0.3685527557372979,174,0.0035327626003838,174,-0.0151195689207184
175,0.0479846449136276,175,0.35066703292581,175,0.0035093648313371,175,-0.0244876103316845
176,0.63659628918746,176,0.3960835772119586,176,0.0060969404313452,176,-0.0517827348684963
177,0.8835572616762636,177,0.3471658763635763,177,0.0010719190202703,177,-0.0456141119287468
178,0.1778630838131797,178,0.3450021209747491,178,0.0026035621096831,178,-0.0326319501765611
179,0.0761356365962891,179,0.346464945139034,179,0.0012095277675618,179,-0.0208194243893941
180,0.3544465770953295,180,0.3212975631765759,180,0.0010548878039312,180,-0.0103628213891691
181,0.9206653870761357,181,0.32660534579729,181,0.0007405360226435,181,-0.033988695510174
182,0.037747920665387,182,0.3003537385588773,182,0.0012494533998132,182,-0.0094163844805344
183,0.8880358285348688,183,0.3067738193680271,183,0.0010099277544185,183,-0.0241910005641688
184,0.9053103007037748,184,0.3074709007460644,184,0.0010522255195074,184,-0.0290516213181103
185,0.0825335892514395,185,0.2795167561188634,185,0.0024551016012207,185,-0.0138126559857174
186,0.0889315419065898,186,0.3058992319186473,186,0.0031363311393094,186,-0.0199122508604368
187,0.0786948176583493,187,0.3176709146046493,187,0.0012135111023164,187,-0.0272177230151916
188,0.128598848368522,188,0.2965448882444244,188,0.002872249346193,188,-0.0315015719130053
189,0.5732565579014716,189,0.2901084510488612,189,0.0013120358602098,189,-0.0262196430300544
190,0.0601407549584133,190,0.2792157244740706,190,0.0009754729556474,190,-0.0317029065498339
191,0.0844529750479846,191,0.2849250566612019,191,0.0029880076513749,191,-0.0149398897895044
192,0.0531030070377479,192,0.348113349729359,192,0.0020188059611911,192,-0.0236426410133235
193,0.0786948176583493,193,0.3743448952580989,193,0.0039379139639818,193,-0.0262155689049218
194,0.0818937939859245,194,0.3573796753031277,194,0.0020811676554629,194,-0.0361405503262767
195,0.0825335892514395,195,0.3641543410325709,195,0.0033066670388203,195,-0.0186958495757486
196,0.0818937939859245,196,0.3249741577585259,196,0.0025398952882581,196,-0.0259583327057965
197,0.0966090850927703,197,0.3591022725001823,197,0.0036937410138622,197,-0.0421197507698975
198,0.1765834932821497,198,0.3479087423231669,198,0.0030856716880918,198,-0.0240434433214937
199,0.0607805502239283,199,0.3335389235432043,199,0.0034234728562717,199,-0.0442186393835437
200,0.8989123480486244,200,0.3150832701445656,200,0.0011540324150871,200,-0.0359398164009412
201,0.072936660268714,201,0.3172360818268841,201,0.0045618309668195,201,-0.055014554070091
202,0.9564939219449776,202,0.3008467134385388,202,0.0023147163233856,202,-0.0417996169212065
203,0.0697376839411388,203,0.315284608444092,203,0.0020725734525179,203,-0.0570233200718535
204,0.0985284708893154,204,0.2937968819878351,204,0.002281379652306,204,-0.0437740041240279
205,0.0710172744721689,205,0.2940437110504255,205,0.0019337717197574,205,-0.0405976996893008
206,0.0876519513755598,206,0.291929249118207,206,0.0009718260264715,206,-0.0792860825615488
207,0.0658989123480486,207,0.2935798336490833,207,0.0019573223268384,207,-0.0666982208441844
208,0.1349968010236724,208,0.2902692025104121,208,0.004124393677869,208,-0.0313989593040567
209,0.0665387076135636,209,0.2771477405661153,209,0.0013435956845443,209,-0.0287019631761188
210,0.9564939219449776,210,0.2839813462205861,210,0.0012117962897475,210,-0.0556514685533903
211,0.0614203454894433,211,0.3164584839182914,211,0.0017713071477678,211,-0.0327876734186296
212,0.8048624440179143,212,0.3371556460839412,212,0.0018253999765621,212,-0.0705776467070943
213,0.0882917466410748,213,0.3178774319868125,213,0.0037051869841017,213,-0.0432352383234666
214,0.5905310300703774,214,0.3354932030977393,214,0.002498213463166,214,-0.0856504744035438
215,0.0818937939859245,215,0.3339831063707952,215,0.0016430023370985,215,-0.0545812272925529
216,0.0786948176583493,216,0.3581141550017521,216,0.0013755949833704,216,-0.0395688478804113
217,0.0870121561100447,217,0.3674166039025421,217,0.0037439587239424,217,-0.0160813923807553
218,0.1631477927063339,218,0.3340905374737278,218,0.0060915698341976,218,-0.0529854664241593
219,0.1202815099168266,219,0.3119480606265446,219,0.0038038910679989,219,-0.043877953653945
220,0.0812539987204094,220,0.3421750818294419,220,0.0047598815338424,220,-0.0501151288120814
221,0.1541906589891234,221,0.3656558002943024,221,0.0036486707316409,221,-0.0419909236697823
222,0.1132437619961612,222,0.3575684515359776,222,0.0046265956900763,222,-0.0339286801618605
223,0.0844529750479846,223,0.3451506057120228,223,0.0014418903463906,223,-0.0294985119028935
224,0.8969929622520794,224,0.3430500814094703,224,0.0018238943293748,224,-0.0361089493673701
225,0.1074856046065259,225,0.345379807071454,225,0.0036262553594506,225,-0.0270413070114658
226,0.0959692898272552,226,0.3167219992535058,226,0.001828930530632,226,-0.0110765390604607
227,0.90850927703135,227,0.3173553288568833,227,0.0060967059042831,227,-0.0458051249776766
228,0.1919385796545105,228,0.3564982209245014,228,0.0028074306913895,228,-0.0133890743439325
229,0.5777351247600768,229,0.389699007052158,229,0.0018264030339007,229,-0.0143397216206772
230,0.9558541266794626,230,0.3804624677917517,230,0.0018042715381123,230,-0.0409651485634531
231,0.127319257837492,231,0.3865429021748843,231,0.0014912270456088,231,-0.0226155216619353
232,0.0690978886756238,232,0.3628978606480932,232,0.0026901513767803,232,-0.0321329450664019
233,0.1477927063339731,233,0.4066845485954095,233,0.0012302346460902,233,-0.0254244697758081
234,0.1497120921305182,234,0.4280825662275295,234,0.0022577976232104,234,-0.0552195059021697
235,0.0690978886756238,235,0.4273334385434866,235,0.0024981885547577,235,-0.0215120566191362
236,0.5687779910428663,236,0.3959963426591887,236,0.001500076117643,236,-0.0099425099678377
237,0.9532949456174024,237,0.4108955311691272,237,0.0016097548982824,237,-0.0225320521617224
238,0.1567498400511836,238,0.3727343830996547,238,0.0039751791718692,238,-0.0038971669888562
239,0.1055662188099808,239,0.387373553537341,239,0.0030732576040012,239,-0.0082897719443961
240,0.0671785028790787,240,0.3984631378198607,240,0.0053584969684809,240,-0.0285797931220905
241,0.0620601407549584,241,0.3867731839669118,241,0.0031906320651626,241,-0.0289746200123843
242,0.0774152271273192,242,0.3911370281335667,242,0.0025920023721008,242,-0.0121843713027139
243,0.1138835572616762,243,0.3858947993727064,243,0.0025403975935628,243,-0.0284722223752379
244,0.4030710172744721,244,0.3640668743719509,244,0.0033943114214302,244,-0.0154062477788718
245,0.3064619321817018,245,0.3687331757220123,245,0.0042218072412221,245,-0.0238282678276512
246,0.4926423544465771,246,0.4594380258501391,246,0.0049752958834094,246,-0.0371562493885776
247,0.1861804222648752,247,0.4327568039769586,247,0.0027096672441921,247,-0.0344096034125397
248,0.0966090850927703,248,0.3806749561497548,248,0.0041163222523102,248,-0.0118955369513575
249,0.9596928982725528,249,0.3502365513107859,249,0.0032383994869094,249,-0.0336941843976489
250,0.0844529750479846,250,0.3245027091374353,250,0.0019479167192607,250,-0.0334485616619934
251,0.0665387076135636,251,0.336267484324256,251,0.0024608800419377,251,-0.0323320972935198
252,0.1132437619961612,252,0.3133253272353234,252,0.001755179402886,252,-0.0495038557349997
253,0.0716570697376839,253,0.290731480742211,253,0.0029246859181356,253,-0.0406107092199936
254,0.1068458093410108,254,0.3078555792487411,254,0.0030642611121948,254,-0.0414665996020821
255,0.1407549584133077,255,0.2882047828905993,255,0.0004937069311359,255,-0.0447235413927861
256,0.1477927063339731,256,0.3108469397096362,256,0.0021260291810848,256,-0.0349923954811941
257,0.1433141394753679,257,0.2809312685324973,257,0.003486005536982,257,-0.0484389175774398
258,0.110044785668586,258,0.2583570927930888,258,0.004707889766839,258,-0.0604162945272896
259,0.0467050543825975,259,0.2415229880703357,259,0.003987401018987,259,-0.0371910894770874
260,0.344849648112604,260,0.2142256191676609,260,0.0032364104608207,260,-0.0295423713220759
261,0.6493921944977608,261,0.21879280913825,261,0.0018446535931387,261,-0.0181517972547697
262,0.9571337172104928,262,0.2385208390631804,262,0.0052800619182544,262,-0.0481323248868607
