Gen Number,Black Line Percentage,Gen Number,Diversity,Gen Number,Fitness,Gen Number, Mean Fitness
0,0.3768394113883557,0,0.5332523493398348,0,0.3768935886376499,0,0.0189810764128824
1,0.3429302623160589,1,0.6040414907443606,1,0.3432501599488164,1,0.0191123003852368
2,0.2975047984644913,2,0.5560309295220548,2,0.2978246960972489,2,0.0168256647720943
3,0.3397312859884837,3,0.5505339120667568,3,0.3400511836212412,3,0.0242823841510263
4,0.6858605246321178,4,0.5562024896212008,4,0.685913878253004,4,0.0641595276050733
5,0.8035828534868842,5,0.5318253716142299,5,0.8036612222836953,5,0.0724246293315931
6,0.90978886756238,6,0.6122699768057324,6,0.9098131034544942,6,0.1197753812558462
7,0.944337811900192,7,0.5389362115901476,7,0.9443447398514152,7,0.1400126266263981
8,0.7415227127319258,8,0.527953863189521,8,0.7418055181580593,8,0.1429574243968203
9,0.8029430582213691,9,0.5119114438848418,9,0.8032629558541267,9,0.1486489938922653
10,0.925783749200256,10,0.5372395061527583,10,0.9257901602012086,10,0.2414243409769881
11,0.7172104926423545,11,0.4901370868262658,11,0.717214461053449,11,0.2716444004075727
12,0.9155470249520152,12,0.5012700551652223,12,0.9157487323710872,12,0.2400167344068671
13,0.9065898912348048,13,0.5490010658756623,13,0.9069097888675623,13,0.2532192170881004
14,0.9040307101727448,14,0.5361652529720167,14,0.9043506078055022,14,0.1642353137069942
15,0.90722968650032,15,0.5251772687300671,15,0.9075495841330774,15,0.2053489465703654
16,0.8950735764555342,16,0.5120543574143336,16,0.8953934740882917,16,0.1434236315217927
17,0.9334612923864364,17,0.4675658936387075,17,0.9334870514687676,17,0.1684379873620544
18,0.9033909149072296,18,0.4364937494551453,18,0.9036769514815232,18,0.1615553584633039
19,0.9161868202175304,19,0.44893749226362,19,0.916506717850288,19,0.1502745364038615
20,0.8880358285348688,20,0.4597644443518603,20,0.8883557261676264,20,0.1873585943410262
21,0.8989123480486244,21,0.4507465491378795,21,0.8992322456813819,21,0.2453941441991786
22,0.891874600127959,22,0.4154014279427099,22,0.8921944977607166,22,0.1588608297017532
23,0.8995521433141395,23,0.4004414514004318,23,0.899872040946897,23,0.1516637627959454
24,0.9046705054382598,24,0.4278934922897982,24,0.9049904030710172,24,0.1467715223165113
25,0.9161868202175304,25,0.4160512331129073,25,0.916506717850288,25,0.1569408536419945
26,0.8976327575175944,26,0.3910690070096608,26,0.8979526551503519,26,0.1537079605974008
27,0.90850927703135,27,0.4133948654463301,27,0.9088291746641076,27,0.2648094866521657
