Gen Number,ID,Fitness,Weights
0,6,3.357704673085479e-05,"[-0.16404120364130415, 0.685501526070116, 0.05954393265396729, 0.37743343106063465, -0.6024143505717328, 0.6193322768467964]"
0,7,2.969971167947896e-05,"[0.9465410350652583, 0.03410227197040472, -0.3221459960747972, 0.3236281568033259, -0.21629403336058517, 0.3198799950840343]"
0,10,2.5450144424975934e-05,"[0.21745511819155028, 0.04119066021921847, 0.9640961409486914, 0.9062911008054382, 0.6209950131921393, 0.5280166734458356]"
0,8,1.9526437641583555e-05,"[0.4276412056239227, 0.24048943737896789, -0.22628075171383522, -0.09458240517373073, 0.4735422664683244, 0.7719745209025051]"
0,5,1.50393977587573e-05,"[-0.2149763633527697, -0.3077721576229857, -0.9444444122184015, -0.08917823268603398, -0.5940875506985956, 0.49567427265481756]"
0,2,1.3520579161246298e-05,"[-0.6920253084911796, -0.5823079599248215, -0.3438892402549747, -0.3295741089283759, 0.8473638743682963, 0.042241406544992754]"
0,4,1.3447689723015453e-05,"[-0.40192531491264205, 0.15290298477104747, 0.8419872826959682, 0.9286529026529118, -0.7434592133879916, -0.36755859300055804]"
0,9,1.3379268032382271e-05,"[0.757731966508038, 0.6948162797311697, 0.6147602644741625, -0.33760352580157305, 0.5403995840119269, -0.5868976798517813]"
0,1,1.2828590886558353e-05,"[-0.9075348701318955, 0.427041307035708, -0.20846129009641245, 0.31928496245815063, 0.3298355014870433, -0.4461230489276158]"
0,3,1.2617385712884598e-05,"[-0.4274488864852577, -0.7342674482619236, 0.6606242546316716, 0.5157146455879493, 0.5991687769409737, -0.17126387065070725]"
1,12,0.1954595142784887,"[0.8586308899457773, 0.03495696032083734, -0.16705627302901113, 0.39388322932291, -0.11533720524762078, 0.344976249415665]"
1,6,1.5946507466207425e-05,"[-0.16404120364130415, 0.685501526070116, 0.05954393265396729, 0.37743343106063465, -0.6024143505717328, 0.6193322768467964]"
1,11,1.5906644249382276e-05,"[0.06610751833296566, 0.5505104370710305, -0.019554621442921853, 0.36628323013520225, -0.5223976760407751, 0.5572760350503811]"
1,7,1.5347913533633608e-05,"[0.9465410350652583, 0.03410227197040472, -0.3221459960747972, 0.3236281568033259, -0.21629403336058517, 0.3198799950840343]"
1,10,1.394876955433861e-05,"[0.21745511819155028, 0.04119066021921847, 0.9640961409486914, 0.9062911008054382, 0.6209950131921393, 0.5280166734458356]"
1,13,1.355756176373596e-05,"[0.2828330064384622, 0.10318207620715171, 0.5938322076365639, 0.5949717503072524, 0.5751301830562651, 0.6038991882345991]"
1,8,1.1730653024038186e-05,"[0.4276412056239227, 0.24048943737896789, -0.22628075171383522, -0.09458240517373073, 0.4735422664683244, 0.7719745209025051]"
1,5,1.0945003082751322e-05,"[-0.2149763633527697, -0.3077721576229857, -0.9444444122184015, -0.08917823268603398, -0.5940875506985956, 0.49567427265481756]"
1,14,1.045609224015588e-05,"[0.28370362409092587, 0.11768630867262089, -0.38713962863890833, -0.0933719441536486, 0.23440773097744103, 0.7100870291349384]"
1,15,1.0318521868536363e-05,"[0.3023316945050109, -0.1555106439813762, -0.6672897303327304, 0.09467443444480111, -0.42582865850157237, 0.4173803130150288]"
2,12,0.1552447792991223,"[0.8586308899457773, 0.03495696032083734, -0.16705627302901113, 0.39388322932291, -0.11533720524762078, 0.344976249415665]"
2,16,0.08850962586932783,"[0.7548996750369358, 0.03596546577647401, 0.01594473748632777, 0.47678201212050825, 0.0037886865282098503, 0.374589042659757]"
2,20,0.040343635305170406,"[0.6691922016878372, 0.03679873910251537, 0.16714854094495915, 0.5452767773996169, 0.10221594589789035, 0.39905648662048576]"
2,6,1.9960222580744592e-05,"[-0.16404120364130415, 0.685501526070116, 0.05954393265396729, 0.37743343106063465, -0.6024143505717328, 0.6193322768467964]"
2,19,1.9485215796073872e-05,"[0.40919714076932395, 0.34927516033485595, -0.13746921522197192, 0.34966129023138726, -0.4031144125147305, 0.46476692882935355]"
2,18,1.9289261280819325e-05,"[-0.05931819450676187, 0.6240774480866915, 0.023552255045852302, 0.3723598308974472, -0.5660049068609917, 0.5910952468048571]"
2,7,1.879581436574374e-05,"[0.9465410350652583, 0.03410227197040472, -0.3221459960747972, 0.3236281568033259, -0.21629403336058517, 0.3198799950840343]"
2,17,1.8776877590202898e-05,"[0.1536830520790544, 0.14889559151877976, 0.8128884885329783, 0.8178856710570416, 0.416486245050519, 0.5432812628112343]"
2,11,1.8584379800281855e-05,"[0.06610751833296566, 0.5505104370710305, -0.019554621442921853, 0.36628323013520225, -0.5223976760407751, 0.5572760350503811]"
2,10,1.7772585455553603e-05,"[0.21745511819155028, 0.04119066021921847, 0.9640961409486914, 0.9062911008054382, 0.6209950131921393, 0.5280166734458356]"
3,12,0.18718121858837974,"[0.8586308899457773, 0.03495696032083734, -0.16705627302901113, 0.39388322932291, -0.11533720524762078, 0.344976249415665]"
3,24,0.18063537505021882,"[0.8410346074257076, 0.035128036567616185, -0.13601318262159626, 0.40794563478069185, -0.09512947077748207, 0.3499995693159416]"
3,16,0.07368418556151397,"[0.7548996750369358, 0.03596546577647401, 0.01594473748632777, 0.47678201212050825, 0.0037886865282098503, 0.374589042659757]"
3,25,0.06785689191705738,"[0.7384935471878014, 0.03612497098863474, 0.04488817536733473, 0.4898932827280127, 0.022629636307251164, 0.3792726017249767]"
3,20,0.041454268680988005,"[0.6691922016878372, 0.03679873910251537, 0.16714854094495915, 0.5452767773996169, 0.10221594589789035, 0.39905648662048576]"
3,21,0.036002380986457964,"[0.27679589782930486, 0.34229366319075977, 0.11647408370227176, 0.46623396861466676, -0.22961703409671513, 0.5027914129466551]"
3,23,2.077161114297465e-05,"[0.5239796031760038, 0.26900033219176606, -0.14502555774561138, 0.36095528644467634, -0.32961798164997225, 0.4341731668306881]"
3,6,1.925423687501382e-05,"[-0.16404120364130415, 0.685501526070116, 0.05954393265396729, 0.37743343106063465, -0.6024143505717328, 0.6193322768467964]"
3,19,1.8976510536014434e-05,"[0.40919714076932395, 0.34927516033485595, -0.13746921522197192, 0.34966129023138726, -0.4031144125147305, 0.46476692882935355]"
3,22,1.8805766668657647e-05,"[0.05494111788628647, 0.5570599609769926, -0.015716902414015292, 0.36682421775193225, -0.5262799406154364, 0.231848982155054]"
4,12,0.18025984836473122,"[0.8586308899457773, 0.03495696032083734, -0.16705627302901113, 0.39388322932291, -0.11533720524762078, 0.344976249415665]"
4,24,0.17844835353055039,"[0.8410346074257076, 0.035128036567616185, -0.13601318262159626, 0.40794563478069185, -0.09512947077748207, 0.3499995693159416]"
4,29,0.1708262781974074,"[0.852830346669197, 0.035013354912814584, -0.1568230439852272, 0.3985188443363452, -0.10867580741077708, 0.3466321664788531]"
4,16,0.08906089205633272,"[0.7548996750369358, 0.03596546577647401, 0.01594473748632777, 0.47678201212050825, 0.0037886865282098503, 0.374589042659757]"
4,25,0.07655730001195486,"[0.7384935471878014, 0.03612497098863474, 0.04488817536733473, 0.4898932827280127, 0.022629636307251164, 0.3792726017249767]"
4,27,0.07262625125407057,"[0.7169347967176131, 0.03633457151712563, 0.08292179065815722, 0.5071223701747022, 0.04738790581745331, 0.38542711192555323]"
4,28,0.04535854164557232,"[0.7048119974115163, 0.03645243294628686, 0.10430864634320763, 0.5168105369185135, 0.06130984126790853, 0.38888788262708746]"
4,20,0.04109444745255663,"[0.6691922016878372, 0.03679873910251537, 0.16714854094495915, 0.5452767773996169, 0.10221594589789035, 0.39905648662048576]"
4,26,1.9707386155208154e-05,"[0.6195126338027157, 0.8070154839758342, 0.02207395064927901, 0.47955852307684027, -0.5811892877072153, 0.026430832154032358]"
4,30,1.9461157994846775e-05,"[0.8134124212596578, 0.03539658760569622, -0.8151775315127321, 0.4300204327418116, -0.0634078953315532, 0.35788504610905425]"
5,12,0.187823137838471,"[0.8586308899457773, 0.03495696032083734, -0.16705627302901113, 0.39388322932291, -0.11533720524762078, 0.344976249415665]"
5,24,0.1815329665026203,"[0.8410346074257076, 0.035128036567616185, -0.13601318262159626, 0.40794563478069185, -0.09512947077748207, 0.3499995693159416]"
5,31,0.1806008952785448,"[0.8454104860777947, 0.03508549298516887, -0.1437330402934472, 0.40444856772863036, -0.1001547705119043, 0.3487503600986451]"
