Gen Number,Black Line Percentage,Gen Number,Diversity,Gen Number,Fitness,Gen Number,Fitness
0,0.9532949456174024,0,0.5663893891918527,0,0.9532949456174024,0,0.1896033269353806
1,0.9526551503518874,1,0.5622521226541236,1,0.9526551503518874,1,0.0622840690978886
2,0.9577735124760076,2,0.5761147272955167,2,0.9577735124760076,2,0.1999360204734484
3,0.9513755598208572,3,0.5493678757376956,3,0.9513755598208572,3,0.1902111324376199
4,0.9584133077415228,4,0.4980231139678287,4,0.9584133077415228,4,0.0584133077415227
5,0.9584133077415228,5,0.510280869943669,5,0.9584133077415228,5,0.0634037108125399
6,0.9558541266794626,6,0.5115283480016614,6,0.9558541266794626,6,0.0577415227127319
7,0.27319257837492,7,0.4929002223441381,7,0.27319257837492,7,0.0188739603326935
8,0.1074856046065259,8,0.5084725463246804,8,0.1074856046065259,8,0.0112284069097888
9,0.9571337172104928,9,0.4967959987842094,9,0.9571337172104928,9,0.1640754958413307
10,0.9539347408829176,10,0.4447498553547907,10,0.9539347408829176,10,0.1270953294945617
11,0.9545745361484324,11,0.4734256721024385,11,0.9545745361484324,11,0.0777671145233525
12,0.237364043506078,12,0.484509628023648,12,0.237364043506078,12,0.0139475367882277
13,0.945617402431222,13,0.4596641353117314,13,0.945617402431222,13,0.072936660268714
14,0.1356365962891874,14,0.48781745175325,14,0.1356365962891874,14,0.0182341650671784
15,0.9513755598208572,15,0.4485267406153014,15,0.9513755598208572,15,0.0994241842610364
16,0.0710172744721689,16,0.468538426842524,16,0.0710172744721689,16,0.0053422904670505
17,0.9577735124760076,17,0.4975918950844852,17,0.9577735124760076,17,0.1278630838131797
18,0.5470249520153551,18,0.5035478884641661,18,0.5470249520153551,18,0.0690339091490722
19,0.1503518873960332,19,0.4734040564170353,19,0.1503518873960332,19,0.0162188099808061
20,0.3166986564299424,20,0.4641547353837819,20,0.3166986564299424,20,0.0518554062699935
21,0.3384516954574536,21,0.4653326851143039,21,0.3384516954574536,21,0.0267434420985284
22,0.945617402431222,22,0.4608302214808928,22,0.945617402431222,22,0.0602047344849648
23,0.9577735124760076,23,0.4667211687473113,23,0.9577735124760076,23,0.1112603966730646
24,0.254638515674984,24,0.4351066161596872,24,0.254638515674984,24,0.0210492642354446
25,0.3480486244401791,25,0.4429586288773819,25,0.3480486244401791,25,0.0275431861804222
26,0.8995521433141395,26,0.4699168646304218,26,0.8995521433141395,26,0.1247920665387076
