timesteps,learning_rate,entropy_loss,approx_kl,loss,policy_gradient_loss,clip_fraction,value_loss,explained_variance,std,n_updates,clip_range,ep_len_mean,ep_rew_mean
2000,0.0003,0,0,0,0,0,0,0,0,1,0.2,304.3333333333333,-42.170812834758735
4000,0.0003,-2.8112027937173845,0.011540145,0.050066638737916946,-0.014702263092653994,0.16925000042654573,0.5685411612875759,0.08804953098297119,0.9766219854354858,10,0.2,305.38461538461536,-41.9112432502351
6000,0.0003,-2.7912218868732452,0.014498336,0.24192675948143005,-0.012109584727544642,0.14859999971464277,0.7127581434324384,0.4294508099555969,0.9765170812606812,20,0.2,248.8695652173913,-27.664947165687973
8000,0.0003,-2.7951673322916033,0.010539159,1.0503889322280884,-0.013496972561713939,0.12895000003278256,2.7855504152178763,0.6077108979225159,0.9795900583267212,30,0.2,216.38888888888889,-21.340748150828844
10000,0.0003,-2.79859798848629,0.0102755865,2.8581652641296387,-0.01026778342696184,0.09359999976120889,3.7087386044859887,0.6538900136947632,0.9794179797172546,40,0.2,186.45283018867926,-18.27095521312179
12000,0.0003,-2.782404633164406,0.007623074,3.3163435459136963,-0.008570232369628594,0.08499999969266354,5.5452002334594725,0.6263119578361511,0.9667308926582336,50,0.2,165.05555555555554,-15.008068584789347
14000,0.0003,-2.7615708756446837,0.006457859,1.7503153085708618,-0.00688977316522414,0.06194999936968088,5.450236827135086,0.633936882019043,0.9582704901695251,60,0.2,156.68539325842696,-11.97302751271496
16000,0.0003,-2.7428041261434557,0.008144176,2.708674192428589,-0.008400703497408448,0.0904999993275851,5.94778259396553,0.5926258563995361,0.9486071467399597,70,0.2,152.84466019417476,-9.19873080207819
18000,0.0003,-2.716769010424614,0.005645224,4.024465560913086,-0.0064999630335098105,0.0738499994110316,7.250073798894882,0.5919065475463867,0.9348645806312561,80,0.2,153.83760683760684,-6.087155776135814
20000,0.0003,-2.6852683848142624,0.009089101,4.670109748840332,-0.007543633839301221,0.07604999942705035,9.197806169986725,0.6457720398902893,0.9172322750091553,90,0.2,154.7751937984496,-2.8633437083737765
22000,0.0003,-2.646741280555725,0.005538162,7.144047260284424,-0.00815742814336554,0.06419999921694398,11.899446413516998,0.6054942011833191,0.9009560346603394,100,0.2,152.70833333333334,0.04329600566280027
24000,0.0003,-2.6129123759269715,0.0077968678,9.544386863708496,-0.007502109465983995,0.06814999934285879,16.060963518619538,0.45727068185806274,0.8881029486656189,110,0.2,148.32298136645963,2.388285611772103
26000,0.0003,-2.5901665902137756,0.0052282615,11.27999210357666,-0.006550123712847747,0.056099999295547605,17.05233575105667,0.4088220000267029,0.8787304759025574,120,0.2,148.7528735632184,5.270103298191977
28000,0.0003,-2.5683998024463652,0.006704483,5.408561706542969,-0.006076557125226463,0.0563999992609024,19.657501530647277,0.4638417959213257,0.8700187802314758,130,0.2,150.92972972972973,6.621323925793198
30000,0.0003,-2.541913610696793,0.0062191207,6.251804351806641,-0.005241121395770278,0.0691499993391335,19.138550157546998,0.6308388710021973,0.8567804098129272,140,0.2,150.62311557788945,9.512801551203998
32000,0.0003,-2.5098143291473387,0.0030562878,11.146881103515625,-0.0037937611879234725,0.032799999546259645,24.33504466533661,0.3376750349998474,0.8421236276626587,150,0.2,152.33333333333334,12.670631055726366
34000,0.0003,-2.478628813624382,0.0096688885,9.588926315307617,-0.008291706690576394,0.08209999925456941,24.70796547651291,0.4086303114891052,0.8313289880752563,160,0.2,151.9004524886878,14.608290496161976
36000,0.0003,-2.4562627011537552,0.009441752,10.746816635131836,-0.003681510612088095,0.055899999365210534,34.76782520055771,0.4375288486480713,0.8243347406387329,170,0.2,155.01724137931035,18.35047002779767
38000,0.0003,-2.4352647858858107,0.005771838,12.83610725402832,-0.0010910548097588623,0.01784999966621399,37.66293786525726,0.36078566312789917,0.8123105764389038,180,0.2,156.18595041322314,21.272194206830136
40000,0.0003,-2.40665073633194,0.008567971,14.036389350891113,-0.005048895852500212,0.0588499992992729,37.487323002815245,0.3441864848136902,0.8017610311508179,190,0.2,158.14741035856574,24.689007506858403
42000,0.0003,-2.3748258924484253,0.003551282,16.61663055419922,-0.002482997616015368,0.04859999940730631,40.92196368694305,0.35703128576278687,0.7892477512359619,200,0.2,160.3976833976834,27.452350187443116
44000,0.0003,-2.349834375977516,0.007411181,8.719756126403809,-0.005563183221120198,0.07684999946504831,37.74420215129852,0.5203745365142822,0.7813663482666016,210,0.2,163.91011235955057,29.454042967341827
46000,0.0003,-2.3257377761602402,0.008242336,18.868793487548828,-0.004423968328042633,0.064849999146536,35.6170196890831,0.753835916519165,0.7696770429611206,220,0.2,165.1546762589928,32.76107014880229
48000,0.0003,-2.2934601318836214,0.0066147475,18.884002685546875,-0.003487308171838226,0.06364999960176647,65.4274790763855,0.31956982612609863,0.7571337223052979,230,0.2,165.88581314878894,36.004117145000265
50000,0.0003,-2.273846660256386,0.0024568946,33.73738479614258,0.0013753128467771615,0.02799999959766865,76.45239265918731,0.11533510684967041,0.7547529339790344,240,0.2,166.42333333333335,38.907360603472156
52000,0.0003,-2.2608174192905426,0.0052831504,60.02031326293945,-0.004555801304335247,0.07084999945946038,92.98167413234711,0.2730236053466797,0.750861644744873,250,0.2,167.28709677419354,40.89497128509754
54000,0.0003,-2.247504987716675,0.004035783,47.231407165527344,-0.0031412389323468236,0.04129999933764338,84.8936020898819,0.5483807921409607,0.7449684143066406,260,0.2,169.1755485893417,43.941232666138795
56000,0.0003,-2.227066038250923,0.0073207133,8.807082176208496,-0.00379946855238086,0.054749999549239876,71.70928461551667,0.20310717821121216,0.73830246925354,270,0.2,172.0646153846154,46.97873884828746
58000,0.0003,-2.207825272679329,0.006693296,16.331871032714844,-0.004682574301515705,0.1096999994944781,49.54016886472702,0.32175761461257935,0.7317588329315186,280,0.2,173.7987987987988,49.72395456914607
60000,0.0003,-2.1763202756643296,0.0057968935,7.5232834815979,-0.0026114308346928718,0.07464999943040311,59.48923752307892,0.311293363571167,0.7184579968452454,290,0.2,174.15697674418604,52.4151633628309
62000,0.0003,-2.1363768631219866,0.0021524585,87.34456634521484,-0.0027324320576466565,0.029949999479576946,128.260780544281,0.21692216396331787,0.7085165977478027,300,0.2,175.32577903682719,55.5741465697909
64000,0.0003,-2.1104334765672683,0.0033533224,69.12511444091797,-0.0024041880706976394,0.058949999641627074,104.41121148586274,0.11504137516021729,0.702974259853363,310,0.2,177.26592797783934,58.98499635326236
66000,0.0003,-2.0855616909265517,0.0035409022,25.07654571533203,-0.0013200185899895577,0.03834999959915877,80.99871859312057,0.07683074474334717,0.6934792995452881,320,0.2,176.28686327077747,60.35366965002348
68000,0.0003,-2.0660979807376862,0.0057137595,116.92622375488281,-0.0032306183952605315,0.05894999953918159,150.46093322753907,0.16035205125808716,0.6916335821151733,330,0.2,179.24668435013263,63.89644209427535
70000,0.0003,-2.0242287200689315,0.009441731,16.5854434967041,-0.0027995657224464576,0.049349999511614444,28.39054928302765,0.13441544771194458,0.6637340784072876,340,0.2,179.24358974358975,66.4647119626989
72000,0.0003,-1.9702611792087554,0.0057374313,83.04269409179688,-0.004585699560814103,0.08074999937787652,155.42693714618682,0.346828818321228,0.6648248434066772,350,0.2,176.61330049261085,66.7729648559538
