timesteps,learning_rate,entropy_loss,approx_kl,loss,policy_gradient_loss,clip_fraction,value_loss,explained_variance,std,n_updates,clip_range,ep_len_mean,ep_rew_mean
2000,0.0003,0,0,0,0,0,0,0,0,1,0.2,213.375,-28.326028221227624
4000,0.0003,-2.8360538083314895,0.014844617,0.07815670222043991,-0.016583296520980367,0.1977999997884035,0.5073604913242161,-0.06884658336639404,0.9973679780960083,10,0.2,171.9047619047619,-23.182763663218118
6000,0.0003,-2.831177769899368,0.005669465,0.5091803073883057,-0.0060299990938692625,0.06664999947883189,0.999187838435173,0.10562443733215332,0.9972150325775146,20,0.2,166.47222222222223,-22.474085727176533
8000,0.0003,-2.8227536231279373,0.010492702,0.6832839250564575,-0.011979215742712039,0.11914999989792704,1.637048572972417,0.556810736656189,0.9881845116615295,30,0.2,150.71698113207546,-19.604759680511403
10000,0.0003,-2.7933894658088683,0.010163514,0.7580975294113159,-0.01043232086681515,0.10899999958463014,2.1983754885196687,0.4139058589935303,0.9686275124549866,40,0.2,140.77464788732394,-17.872282053402103
12000,0.0003,-2.7725034457445146,0.0092825685,1.166736364364624,-0.012599180256398536,0.12544999953359365,2.4760652014613154,0.5500873327255249,0.9666297435760498,50,0.2,123.55670103092784,-15.318754767649072
14000,0.0003,-2.7559978801012037,0.0065639555,2.0605766773223877,-0.009013959015165164,0.0920499995071441,3.998207949697971,0.5413795709609985,0.9547765254974365,60,0.2,111.656,-13.247418830097422
16000,0.0003,-2.742243528366089,0.007879049,1.7538293600082397,-0.008932197813974403,0.07094999929890036,3.08955524623394,0.5060406923294067,0.9509485363960266,70,0.2,100.9171974522293,-11.318736109223824
18000,0.0003,-2.7127345424890517,0.0099685835,1.1940618753433228,-0.012604747133849013,0.09869999960064887,2.165388660281897,0.5057741403579712,0.9288452863693237,80,0.2,92.139896373057,-9.988222836721246
20000,0.0003,-2.6578311854600907,0.010144109,1.13776695728302,-0.005658965683682254,0.062199999410659075,2.168606737703085,0.47649794816970825,0.9024983048439026,90,0.2,90.07207207207207,-10.050453575404585
22000,0.0003,-2.6217170971632004,0.0053571193,1.2670644521713257,-0.003176837630182856,0.05054999929852784,2.769780478924513,0.7169947624206543,0.8937442898750305,100,0.2,86.67193675889328,-9.278013730317468
24000,0.0003,-2.6200341045856477,0.00606462,0.5577988028526306,-0.002610662713310018,0.04239999940618873,2.4312672445178034,0.5021024346351624,0.9000210762023926,110,0.2,81.66552901023891,-8.495277909574853
26000,0.0003,-2.606764721274376,0.006926586,1.6244889497756958,-0.004934417566508999,0.05154999944381416,2.9444437535107135,0.5018689632415771,0.882652759552002,120,0.2,77.18452380952381,-7.703132257488068
28000,0.0003,-2.574522060751915,0.0074511296,0.3902541399002075,-0.00809389703732113,0.09104999957606197,0.9404544741660357,0.1269780993461609,0.8718902468681335,130,0.2,74.22546419098143,-7.071523263265938
30000,0.0003,-2.533504509925842,0.008350693,0.2428816258907318,-0.005617519174826839,0.08494999956339598,0.7364763005077839,0.4123295545578003,0.8507376313209534,140,0.2,71.03554502369668,-6.448410787642585
32000,0.0003,-2.47322865486145,0.01065786,0.1934843212366104,-0.012020806313552023,0.11444999954663217,0.4099813140556216,-0.11268770694732666,0.8210902810096741,150,0.2,68.2046908315565,-5.948846125923374
34000,0.0003,-2.42950215280056,0.010586676,0.22777479887008667,-0.011530430357226397,0.10109999972395599,0.5743931406736373,0.34783899784088135,0.8114914298057556,160,0.2,65.95728155339806,-5.515064316537798
36000,0.0003,-2.4006320798397063,0.008105489,0.6940051913261414,-0.00794836631907292,0.07499999925494194,0.798114394210279,0.34958720207214355,0.7981510162353516,170,0.2,63.71150442477876,-5.123505085844062
