timesteps,learning_rate,entropy_loss,approx_kl,loss,policy_gradient_loss,clip_fraction,value_loss,explained_variance,std,n_updates,clip_range,ep_len_mean,ep_rew_mean
2000,0.0003,0,0,0,0,0,0,0,0,1,0.2,250.66666666666666,1.5437437592060013
4000,0.0003,-2.8348306155204774,0.0044668494,-0.01681089773774147,-0.0005516201162330625,0.01374999973922968,0.0277199172321707,-0.0033026933670043945,0.9954866170883179,10,0.2,220.9375,0.43178549518733533
6000,0.0003,-2.838897548317909,0.0062677227,0.1954663097858429,-0.006822996192636628,0.05709999934770167,0.614918828625232,0.2050805687904358,1.006762981414795,20,0.2,243.2173913043478,-1.397370631508074
8000,0.0003,-2.841406478881836,0.009972754,0.010804980993270874,-0.00987666777561847,0.14149999985471368,0.15419113941810791,-0.08674156665802002,0.9948285222053528,30,0.2,206.23684210526315,-0.6618292762874743
10000,0.0003,-2.822098966240883,0.0066400766,0.02700037509202957,-0.003989922232753451,0.043799999430775644,0.09179063287447206,0.29959505796432495,0.9897320866584778,40,0.2,211.46808510638297,-0.41198443294195475
12000,0.0003,-2.820048127770424,0.0068562836,-0.002573984209448099,-0.004214792485281577,0.07524999948218465,0.029819559991010464,0.40563738346099854,0.9908523559570312,50,0.2,213.08928571428572,-0.1343372648895704
14000,0.0003,-2.8001349717378616,0.008273364,0.03607688471674919,-0.006250861804069792,0.06954999937675893,0.07954021110315806,0.05509859323501587,0.9738091230392456,60,0.2,227.7377049180328,0.1458903757569673
16000,0.0003,-2.774117047190666,0.010050452,0.009023696184158325,-0.005008688887382689,0.10559999953955412,0.32563857005967295,-0.058831095695495605,0.9630946516990662,70,0.2,236.9848484848485,0.37142828411206014
18000,0.0003,-2.7422243666648867,0.0052232896,0.8853377103805542,-0.0030982305371242847,0.04639999944716692,1.5681561418250203,0.14302700757980347,0.9448693990707397,80,0.2,232.42105263157896,1.305129200843455
20000,0.0003,-2.7291946071386337,0.00707147,1.2882719039916992,-0.004064238052853839,0.04734999939799309,2.5778686575591565,0.5106199979782104,0.9508371353149414,90,0.2,232.37209302325581,2.356266190480184
22000,0.0003,-2.734714277982712,0.004832924,1.3771753311157227,-0.004212841067703996,0.03039999949745834,4.91927056863904,0.52961266040802,0.946998119354248,100,0.2,229.62105263157895,3.3839548649588598
24000,0.0003,-2.722596561908722,0.0059241643,5.653541564941406,-0.005208311608364058,0.0409499993827194,7.6451112601161,0.6273881793022156,0.9411602020263672,110,0.2,229.75,4.633009296223621
26000,0.0003,-2.7116137248277665,0.0033622042,6.04893684387207,-0.001413353858202937,0.013699999749660493,12.424234458208083,0.5313276052474976,0.9361194968223572,120,0.2,234.52293577981652,5.461351535716894
28000,0.0003,-2.709853889942169,0.0073897587,0.992952823638916,-0.004429893807797454,0.0663499994110316,4.511169470846653,0.7756761312484741,0.9391816258430481,130,0.2,230.11666666666667,5.075069727334628
30000,0.0003,-2.7113803774118423,0.0054254467,5.381703853607178,-0.0034104999458886586,0.0575999992992729,7.333900139629841,0.7472267150878906,0.9382747411727905,140,0.2,237.6031746031746,6.032305637297432
32000,0.0003,-2.714065542817116,0.008028626,3.3565661907196045,-0.005202359107340453,0.0739499993622303,6.402212019711733,0.696834146976471,0.9413796663284302,150,0.2,235.78518518518518,7.273930050185174
